N° de factura,Fecha de factura,ID Cliente,País,Cantidad,Monto,Estado
548370,2021-03-30 16:14:00,15528.0,United Kingdom,123,22933.0,Valido
575767,2021-11-11 11:11:00,17348.0,United Kingdom,163,20973.0,Valido
549106,2021-04-06 12:08:00,17045.0,United Kingdom,1,3995.0,Valido
573112,2021-10-27 15:33:00,16416.0,United Kingdom,357,34483.0,Valido
576630,2021-11-16 08:38:00,13816.0,Germany,91,19998.0,Valido
538125,2020-12-09 15:46:00,18225.0,United Kingdom,16,3000.0,Valido
544354,2021-02-18 10:42:00,13489.0,United Kingdom,64,7728.0,Valido
546369,2021-03-11 11:41:00,15513.0,United Kingdom,10,6750.0,Valido
570651,2021-10-11 13:34:00,14911.0,EIRE,86,32135.0,Valido
539736,2020-12-21 15:18:00,,United Kingdom,143,117246.0,Valido
537823,2020-12-08 14:25:00,,United Kingdom,1484,607371.0,Valido
575581,2021-11-10 11:53:00,12659.0,France,105,9168.0,Valido
580987,2021-12-06 16:35:00,17389.0,United Kingdom,96,72000.0,Valido
543754,2021-02-11 14:26:00,18159.0,United Kingdom,139,53015.0,Valido
563233,2021-08-14 15:56:00,17988.0,United Kingdom,1,295.0,Valido
545417,2021-03-02 13:42:00,15622.0,United Kingdom,222,57600.0,Valido
556427,2021-06-10 13:23:00,,United Kingdom,92,43569.0,Valido
576571,2021-11-15 13:48:00,12950.0,United Kingdom,164,31160.0,Valido
550623,2021-04-19 13:56:00,13719.0,United Kingdom,78,13290.0,Valido
576083,2021-11-14 08:22:00,17404.0,Sweden,1060,123848.0,Valido
562417,2021-08-04 16:32:00,,United Kingdom,526,169138.0,Valido
570733,2021-10-12 11:33:00,17190.0,United Kingdom,160,24974.0,Valido
537026,2020-12-03 16:35:00,12395.0,Belgium,528,34610.0,Valido
552837,2021-05-11 14:24:00,12901.0,United Kingdom,72,14004.0,Valido
550535,2021-04-19 11:19:00,14211.0,United Kingdom,72,15560.0,Valido
555213,2021-06-01 12:22:00,13094.0,United Kingdom,144,15264.0,Valido
549923,2021-04-13 09:59:00,13138.0,United Kingdom,72,19362.0,Valido
575198,2021-11-09 09:47:00,12921.0,United Kingdom,19,7125.0,Valido
569005,2021-09-29 18:30:00,16268.0,United Kingdom,465,49376.0,Valido
566307,2021-09-12 09:37:00,14307.0,United Kingdom,323,65623.0,Valido
539049,2020-12-15 16:21:00,15615.0,United Kingdom,364,104864.0,Valido
549684,2021-04-11 13:24:00,,United Kingdom,1,3000.0,Valido
580068,2021-12-01 13:41:00,17321.0,United Kingdom,5,4125.0,Valido
542745,2021-01-31 16:47:00,15881.0,United Kingdom,154,33929.0,Valido
575525,2021-11-10 11:06:00,13983.0,United Kingdom,72,12888.0,Valido
542936,2021-02-02 11:10:00,,United Kingdom,144,16156.0,Valido
565682,2021-09-06 10:42:00,14796.0,United Kingdom,467,83595.0,Valido
562220,2021-08-03 14:19:00,15150.0,United Kingdom,108,30442.0,Valido
562002,2021-08-01 13:48:00,14567.0,United Kingdom,172,80076.0,Valido
538010,2020-12-09 12:20:00,17526.0,United Kingdom,40,22680.0,Valido
579089,2021-11-28 10:46:00,17920.0,United Kingdom,58,11111.0,Valido
560713,2021-07-20 13:09:00,16774.0,United Kingdom,56,16080.0,Valido
571098,2021-10-13 15:38:00,17841.0,United Kingdom,200,43743.0,Valido
574994,2021-11-08 11:03:00,17870.0,United Kingdom,62,14311.0,Valido
570257,2021-10-10 09:56:00,13767.0,United Kingdom,129,38031.0,Valido
541669,2021-01-20 12:29:00,17315.0,United Kingdom,172,33176.0,Valido
552404,2021-05-09 12:39:00,15932.0,United Kingdom,262,30502.0,Valido
566035,2021-09-08 13:17:00,12839.0,United Kingdom,286,41358.0,Valido
576911,2021-11-17 10:01:00,17461.0,United Kingdom,342,34920.0,Valido
